iter	MultiClass
0	0.680402724
1	0.6682434885
2	0.65613463
3	0.6445514789
4	0.6332264699
5	0.622489714
6	0.6122597259
7	0.602141056
8	0.5922673985
9	0.5827162715
10	0.5734541915
11	0.5643500627
12	0.5555946402
13	0.5469928159
14	0.5387606363
15	0.530593697
16	0.5227127322
17	0.515214776
18	0.5077785941
19	0.5007203025
20	0.4937989008
21	0.4870491436
22	0.4803484195
23	0.4739841919
24	0.4678040796
25	0.4616939554
26	0.4557107639
27	0.4499024634
28	0.444145225
29	0.4386304309
30	0.4333664452
31	0.42799801
32	0.4227641388
33	0.4176359329
34	0.412774184
35	0.4079198624
36	0.4031941859
37	0.39851441
38	0.3941296179
39	0.3897218951
40	0.3853603978
41	0.3811417039
42	0.3770209893
43	0.3730038284
44	0.3691159278
45	0.3653302405
46	0.3616612508
47	0.3580164136
48	0.3545226378
49	0.3510552879
50	0.3476964874
51	0.3443713322
52	0.3410786389
53	0.3378787808
54	0.3348857945
55	0.3317404302
56	0.3288913308
57	0.325949604
58	0.3230452253
59	0.3202524748
60	0.3175367731
61	0.3148513083
62	0.312198435
63	0.3097104186
64	0.3071830972
65	0.3046630392
66	0.3022262039
67	0.2998388468
68	0.2974478272
69	0.2951938314
70	0.2930455449
71	0.2909406591
72	0.2888669172
73	0.2868277807
74	0.2847546289
75	0.282773702
76	0.2809500389
77	0.2790583275
78	0.2771583486
79	0.2752898821
80	0.2735688471
81	0.271849699
82	0.2701029831
83	0.268562387
84	0.2669458595
85	0.2653537319
86	0.2639408637
87	0.262327299
88	0.2607710202
89	0.2592401596
90	0.2577723142
91	0.2562733062
92	0.2549060046
93	0.2534532013
94	0.2520774936
95	0.250703025
96	0.249335511
97	0.2479466919
98	0.2468678266
99	0.2456303293
100	0.2443845474
101	0.243163057
102	0.2419323721
103	0.2407052355
104	0.2395843542
105	0.2385721378
106	0.2373960133
107	0.2362416062
108	0.235139473
109	0.234031868
110	0.2329477538
111	0.2319922196
112	0.231043913
113	0.2300797386
114	0.2290705338
115	0.2280769008
116	0.2271711513
117	0.2264162711
118	0.2255298798
119	0.2247225749
120	0.2238745407
121	0.2229739843
122	0.2221796304
123	0.2213381726
124	0.2205336352
125	0.2198206112
126	0.2191869227
127	0.2184077107
128	0.2175417544
129	0.2167655224
130	0.216065318
131	0.2153056025
132	0.2147095179
133	0.2139082879
134	0.2131997461
135	0.2125118997
136	0.2119089316
137	0.2113399733
138	0.210696734
139	0.210036404
140	0.2095112033
141	0.2088721164
142	0.2083914774
143	0.2077161559
144	0.2072021209
145	0.2066656578
146	0.2060637592
147	0.2055730891
148	0.2050446214
149	0.2044800092
150	0.2039657903
151	0.2033605434
152	0.2029898563
153	0.2024744161
154	0.2019677942
155	0.2015781082
156	0.2010862865
157	0.2006757222
158	0.2003157882
159	0.1997486178
160	0.1993875165
161	0.1989721379
162	0.1986827305
163	0.1983171704
164	0.1978671841
165	0.1974623954
166	0.1970417985
167	0.1965950211
168	0.1962776738
169	0.1959429309
170	0.1954905498
171	0.1951682938
172	0.1948414887
173	0.1944224078
174	0.1940143425
175	0.1935646592
176	0.193181441
177	0.1927184261
178	0.1924311148
179	0.1921914761
180	0.1917856379
181	0.191512064
182	0.1911636552
183	0.1908494167
184	0.1904432426
185	0.1901297384
186	0.1897904991
187	0.1894023453
188	0.1890932706
189	0.1887981128
190	0.1886128394
191	0.1883094332
192	0.1881060689
193	0.1878167514
194	0.1875557403
195	0.1872633835
196	0.1869472411
197	0.1867080377
198	0.1863917645
199	0.1860496343
200	0.1858091256
201	0.1855893523
202	0.1853039832
203	0.1850989159
204	0.1847854234
205	0.1845108386
206	0.1843034452
207	0.1841190657
208	0.1838132187
209	0.1835824885
210	0.1833842575
211	0.1831702242
212	0.1829192735
213	0.1826810268
214	0.1824311685
215	0.1822956055
216	0.1821242194
217	0.1818795124
218	0.1817261726
219	0.1815175195
220	0.181319033
221	0.1811159894
222	0.1809335735
223	0.1807066888
224	0.1804658887
225	0.1803223712
226	0.1801675425
227	0.1799968402
228	0.1798119321
229	0.1797023503
230	0.1793819777
231	0.1792044446
232	0.1790990257
233	0.1788994405
234	0.1787216823
235	0.1785488696
236	0.1783793047
237	0.1782403796
238	0.1780496507
239	0.1778850615
240	0.1777008959
241	0.1775623524
242	0.1774230304
243	0.1772288761
244	0.1770879519
245	0.1769305357
246	0.1768297457
247	0.176706084
248	0.1765724859
249	0.1764102853
250	0.176183931
251	0.1760449397
252	0.1759163056
253	0.1757422032
254	0.1755316814
255	0.1753602297
256	0.1752400517
257	0.1750369752
258	0.174903877
259	0.1747078875
260	0.1745997773
261	0.1744989969
262	0.174292654
263	0.1741884722
264	0.1740581259
265	0.1738924258
266	0.1737290864
267	0.1736684793
268	0.1735332259
269	0.1734396459
270	0.1732898758
271	0.1731736982
272	0.1730773149
273	0.172985094
274	0.1728874288
275	0.1728025174
276	0.1726953105
277	0.1726113495
278	0.1724732683
279	0.1723499119
280	0.1721850928
281	0.1720899331
282	0.17195306
283	0.1718371446
284	0.1717246932
285	0.1716018513
286	0.1715076806
287	0.1714033702
288	0.171299067
289	0.171148969
290	0.1710417741
291	0.1708604599
292	0.1707707747
293	0.1706394651
294	0.1705037075
295	0.1703842977
296	0.1702070338
297	0.170064753
298	0.169997233
299	0.169909553
300	0.1697842526
301	0.1696846005
302	0.1695637898
303	0.1694201185
304	0.1693643387
305	0.1692850164
306	0.169213994
307	0.1691063295
308	0.1689995132
309	0.1688973283
310	0.1688053975
311	0.1687133854
312	0.1685494615
313	0.1684853882
314	0.1683661702
315	0.1683242549
316	0.1682405933
317	0.1681435001
318	0.1680492755
319	0.1679738598
320	0.1678848169
321	0.1678111583
322	0.1677128443
323	0.1676049706
324	0.1675392765
325	0.1674619958
326	0.1673666269
327	0.1672421673
328	0.167129565
329	0.166974718
330	0.1668939901
331	0.1667882631
332	0.1666755877
333	0.1665711251
334	0.1664950865
335	0.1664089162
336	0.1663602977
337	0.1662813999
338	0.1662081379
339	0.1661592804
340	0.1661128064
341	0.166060178
342	0.1659560207
343	0.1658795513
344	0.1657724122
345	0.1657165925
346	0.1656312331
347	0.1655349187
348	0.1654700928
349	0.165341388
350	0.1652656833
351	0.1651514826
352	0.1650881864
353	0.164994594
354	0.164915925
355	0.1648374012
356	0.1647798264
357	0.164683163
358	0.1646012119
359	0.1645257258
360	0.164443541
361	0.1643589888
362	0.1643095281
363	0.1642525199
364	0.1641693814
365	0.1640998277
366	0.1640470573
367	0.1639538841
368	0.1639145879
369	0.16384927
370	0.1637754848
371	0.1636954239
372	0.1636014696
373	0.1635123706
374	0.1634376663
375	0.1633793784
376	0.1633055525
377	0.1632268076
378	0.1631416337
379	0.163087999
380	0.163008676
381	0.1629545092
382	0.1629081313
383	0.1628343079
384	0.1627560839
385	0.1627068234
386	0.1625855837
387	0.1625241049
388	0.1624621411
389	0.1624281947
390	0.1623594785
391	0.1623056571
392	0.1622536388
393	0.1621862433
394	0.1621241119
395	0.1620604114
396	0.1620050485
397	0.1619318038
398	0.1618891937
399	0.1618435595
400	0.161814124
401	0.1617479361
402	0.161686796
403	0.1616232526
404	0.1615608869
405	0.1614925362
406	0.1613878385
407	0.1613107135
408	0.16125446
409	0.1612123145
410	0.1611366858
411	0.1610901684
412	0.1610272801
413	0.1609352547
414	0.1608928157
415	0.1608188428
416	0.1607585212
417	0.1607311268
418	0.1606561457
419	0.1606221542
420	0.1605207099
421	0.16046273
422	0.1604120115
423	0.1603668945
424	0.1603241913
425	0.1602755426
426	0.1601844684
427	0.1601056878
428	0.1600226748
429	0.1599838646
430	0.1599107242
431	0.1598511436
432	0.15979869
433	0.159737691
434	0.159664143
435	0.1596354758
436	0.1595828409
437	0.1594915297
438	0.159432905
439	0.1593905854
440	0.1593446729
441	0.1592934446
442	0.1592298421
443	0.1591862047
444	0.1590881743
445	0.1590423181
446	0.1590229548
447	0.1589756748
448	0.1588972539
449	0.1588385529
450	0.1587755918
451	0.1587377405
452	0.158682463
453	0.158644896
454	0.1586015942
455	0.1585405215
456	0.1584748596
457	0.1583909506
458	0.158355909
459	0.1583317106
460	0.1582919108
461	0.1582239422
462	0.1581828009
463	0.1581412176
464	0.1580797969
465	0.1580377324
466	0.1579832929
467	0.1579292165
468	0.1578954613
469	0.1578618408
470	0.1578325018
471	0.1577525107
472	0.1576878008
473	0.1575902134
474	0.1575399607
475	0.1574808394
476	0.1574399549
477	0.1573432422
478	0.1572937482
479	0.1572229865
480	0.157184354
481	0.1571220511
482	0.157071529
483	0.15700303
484	0.1569762021
485	0.1569164788
486	0.1568552795
487	0.1568320818
488	0.1567796988
489	0.1567289756
490	0.1566713497
491	0.1566381952
492	0.1565809553
493	0.1565362051
494	0.1565098721
495	0.1564565382
496	0.1563962529
497	0.1563641953
498	0.156321722
499	0.1562543587
500	0.156209123
501	0.1561636987
502	0.1561210918
503	0.1560657955
504	0.1560175559
505	0.1559533437
506	0.1559108053
507	0.1558850502
508	0.1558168482
509	0.1557865287
510	0.1557526875
511	0.1557126058
512	0.1556237551
513	0.1555636787
514	0.1554927299
515	0.155437991
516	0.155415326
517	0.1553641245
518	0.1553096933
519	0.1552511055
520	0.1551979318
521	0.1551546427
522	0.1551214741
523	0.155064143
524	0.1550121976
525	0.1549681864
526	0.1549283591
527	0.154873612
528	0.154791241
529	0.1547466085
530	0.1546979548
531	0.1546506763
532	0.1546223068
533	0.1545876795
534	0.1545395161
535	0.154510001
536	0.154475804
537	0.1544023378
538	0.154352685
539	0.154311763
540	0.1542687725
541	0.1542170043
542	0.1541851191
543	0.1541446802
544	0.1540847114
545	0.1540549083
546	0.1540137923
547	0.1539748681
548	0.1539406301
549	0.1539093655
550	0.1538594962
551	0.1537994382
552	0.1537462117
553	0.1536862709
554	0.1536324716
555	0.1535992025
556	0.1535337397
557	0.153498479
558	0.1534357328
559	0.1533857207
560	0.1532979007
561	0.153244334
562	0.1531965065
563	0.1531377959
564	0.1530977923
565	0.1530264037
566	0.1530046999
567	0.1529449129
568	0.1529106916
569	0.1528725509
570	0.1528410583
571	0.152799422
572	0.1527545052
573	0.1527108948
574	0.1526864043
575	0.1526259041
576	0.1525819421
577	0.1525416141
578	0.1525050848
579	0.1524749338
580	0.1524351726
581	0.1523987903
582	0.152341325
583	0.1522694823
584	0.1522121568
585	0.1521700964
586	0.1520999972
587	0.1520695271
588	0.1520381764
589	0.1519990617
590	0.1519554421
591	0.1519047846
592	0.1518328561
593	0.1518038003
594	0.15176333
595	0.1517224618
596	0.1516595184
597	0.1516247304
598	0.1516028246
599	0.1515513319
600	0.1515152883
601	0.1514765217
602	0.15146323
603	0.151426535
604	0.1513916868
605	0.1513562618
606	0.1513138952
607	0.151264809
608	0.151208138
609	0.1511414659
610	0.1510920798
611	0.1510437365
612	0.1510130069
613	0.1509599334
614	0.1509178928
615	0.1508635084
616	0.1508083941
617	0.1507357138
618	0.1506849139
619	0.1506616025
620	0.1506272265
621	0.1506065592
622	0.1505583938
623	0.1505014
624	0.1504500517
625	0.1504191057
626	0.1503254284
627	0.1502601067
628	0.1502247837
629	0.1501753166
630	0.1501257827
631	0.1500626427
632	0.1500376956
633	0.1500097124
634	0.1499487247
635	0.1499156841
