iter	Passed	Remaining
0	6	7795
1	13	8093
2	19	7596
3	26	7986
4	32	7717
5	40	8083
6	43	7351
7	49	7305
8	54	7151
9	59	7056
10	66	7181
11	72	7191
12	82	7500
13	90	7642
14	96	7656
15	106	7851
16	114	7996
17	120	7917
18	128	7994
19	133	7879
20	141	7937
21	148	7934
22	156	8030
23	161	7937
24	169	7983
25	175	7924
26	182	7942
27	188	7876
28	195	7900
29	201	7851
30	207	7828
31	213	7794
32	220	7788
33	226	7772
34	233	7787
35	242	7851
36	248	7807
37	256	7846
38	261	7793
39	270	7839
40	275	7793
41	282	7798
42	289	7776
43	294	7735
44	300	7700
45	307	7722
46	313	7684
47	320	7695
48	325	7650
49	333	7681
50	339	7641
51	346	7657
52	353	7642
53	360	7656
54	366	7633
55	374	7641
56	380	7624
57	386	7607
58	391	7573
59	399	7592
60	406	7591
61	412	7568
62	419	7564
63	425	7553
64	432	7547
65	438	7535
66	445	7533
67	450	7502
68	457	7503
69	463	7482
70	469	7461
71	476	7468
72	481	7441
73	486	7409
74	492	7386
75	498	7370
76	503	7339
77	508	7318
78	513	7291
79	520	7283
80	525	7264
81	531	7248
82	537	7230
83	542	7200
84	546	7173
85	552	7158
86	555	7106
87	560	7083
88	565	7061
89	571	7045
90	576	7022
91	582	7012
92	586	6987
93	592	6973
94	597	6949
95	602	6928
96	607	6913
97	615	6919
98	618	6878
99	624	6871
100	631	6874
101	638	6873
102	646	6881
103	655	6909
104	662	6910
105	667	6892
106	673	6875
107	678	6860
108	683	6846
109	689	6829
110	695	6819
111	699	6799
112	705	6781
113	710	6765
114	715	6752
115	720	6735
116	725	6718
117	730	6700
118	736	6687
119	741	6674
120	746	6658
121	751	6644
122	757	6631
123	762	6614
124	767	6599
125	772	6583
126	778	6574
127	782	6556
128	787	6542
129	793	6527
130	798	6516
131	803	6502
132	808	6486
133	813	6475
134	819	6464
135	824	6449
136	829	6432
137	834	6418
138	839	6408
139	844	6396
140	849	6381
141	855	6371
142	861	6366
143	866	6354
144	871	6339
145	876	6330
146	882	6319
147	886	6304
148	891	6290
149	897	6282
150	903	6277
151	910	6275
152	920	6300
153	935	6353
154	945	6372
155	951	6368
156	956	6356
157	962	6347
158	967	6333
159	972	6320
160	978	6317
161	985	6314
162	991	6309
163	997	6299
164	1003	6294
165	1008	6281
166	1015	6281
167	1021	6271
168	1027	6270
169	1034	6270
170	1042	6274
171	1051	6281
172	1060	6293
173	1069	6307
174	1078	6315
175	1084	6309
176	1090	6304
177	1096	6293
178	1101	6282
179	1106	6268
180	1112	6261
181	1117	6249
182	1122	6235
183	1127	6225
184	1132	6213
185	1138	6204
186	1143	6193
187	1148	6182
188	1153	6171
189	1159	6161
190	1164	6151
191	1169	6138
192	1174	6128
193	1180	6120
194	1185	6111
195	1191	6100
196	1196	6091
197	1202	6083
198	1207	6071
199	1212	6061
